01005700001311261054226775Q,,113.92751254247428,22.606785972718345
01005700001311261054196665Q,,113.92768294729638,22.60692869510556
01005700001311261054165935Q,,113.9278712703473,22.607046462400067
01005700001311261054150335Q,,113.92796991098301,22.607097016102884
01005700001311261054133955Q,,113.92807751258533,22.60713926520571
01005700001311261042385055Q,,113.9288305922419,22.607151124960858
01005700001311261054025225Q,,113.92879482749645,22.60730944281513
01005700001311261054118505Q,,113.92818511574464,22.607181503641105
09005700011608230930573739P,,113.8990167697916,22.538118055271596
09005700011608271224363309P,,113.89900812040813,22.537124947816647
09005700011608271224378939P,,113.899088745339,22.537126313130205
09005700011608271224406969P,,113.8992589512786,22.537129200793693
09005700011608271224420919P,,113.89933061603323,22.537130418774087
09005700011608271225546809P,,113.89732415499188,22.535611547378206
09005700011608271225586809P,,113.8971628544972,22.535692347450322
09005700011511260950419679C,,113.89677745182259,22.53614500956339
09005700011511260950513549C,,113.89674150843973,22.536553301679437
09005700011511260950578649C,,113.89674141980946,22.53688707384064
09005700011511260951058629C,,113.89672336688898,22.53734571642709
09005700011608230927488639P,,113.89656207424862,22.537334761445887
09005700011608230927537439P,,113.89658905354057,22.53700142662149
09005700011608230928004809P,,113.89660710701942,22.536509402829704
09005700011608271338075589P,,113.88924655598268,22.53489276389353
09005700011608271338019689P,,113.8888428350908,22.534896176120856
09005700011608271338063479P,,113.88917478437443,22.53490022374934
09005700011608271338435719P,,113.89109432210714,22.534908326465445
09005700011608271338360349P,,113.89068176784606,22.5348944606607
09005700011608271338270159P,,113.89027815365787,22.5348808145503
09005700011608271338255249P,,113.89020639534407,22.53488822714003
09005700011608271338288469P,,113.89036784704281,22.534890328609688
09005700011608271338485489P,,113.8913992387961,22.534895782923893
09005700011608271338422119P,,113.89101360842604,22.534898893658116
09005700011608231102207899P,,113.89754609317289,22.52205369544718
09005700011608231102293939P,,113.89704454295929,22.522496173792632
09005700011608231102342879P,,113.89676687836055,22.5227337004285
09005700011509110859092058U,,113.89670432645066,22.523116621148247
09005700011608231147128019P,,113.89724210072042,22.52345924432338
09005700011608231147194579P,,113.89732279155638,22.523577417315803
09005700011608231331566989P,,113.8973048958632,22.52363554769384
09005700011608231147348809P,,113.8977886542132,22.52346825614854
09005700011608231330039399P,,113.89813808937942,22.52351579907137
09005700011608231330121779P,,113.89836203908905,22.523452771915228
09005700011608231330148639P,,113.89845161805123,22.523429234348747
09005700011608231330220339P,,113.89866661172992,22.523391115404692
09005700011608231326572469P,,113.89896224806458,22.523404450231958
09005700011608231326488809P,,113.89883663802767,22.52296831583427
09005700011608231326400059P,,113.89860349313734,22.522488639993856
09005700011509110858322058U,,113.89825397026233,22.522224037696578
09005700011608231326361829P,,113.89841527733937,22.52231854980158
09005700011509130249517458U,,113.89145939418619,22.509130998580076
09005700011608231003076559P,,113.89132441773525,22.508628261812678
09005700122003221013588925O,,113.89110885948426,22.508274708965207
09005700122003221014019055O,,113.89087535422698,22.50792094181011
09005700011608231003216029P,,113.89039931751198,22.50718833853061
09005700011608231003253079P,,113.89020171259048,22.50689357146052
09005700011608231003301889P,,113.89001306980866,22.506598942944226
09005700122003221014172775O,,113.8897255870329,22.506136112197687
09005700011509130249544708U,,113.89148622882186,22.50905623400021
09005700011608271215038139P,,113.89679377713324,22.540667769280066
09005700011608271213139999P,,113.89600523385022,22.540579983565703
09005700121709030946475802S,,113.96198945542969,22.555760843024213
09005700011608271212056859P,,113.89655216572692,22.539929601117272
09005700121709030946488152S,,113.96193543765183,22.55580364356594
09005700011608271212009419P,,113.89655231381158,22.53957916043953
09005700121709030946501622S,,113.96188140285837,22.555863126975463
09005700011608271211561469P,,113.89655247215762,22.539186997916342
09005700121709030946514992S,,113.9618363468851,22.555939111426277
09005700011608271211512729P,,113.89656159294321,22.538769945344875
09005700121709030946526382S,,113.96180929110841,22.556006390283404
09005700011608230926281979P,,113.89625712120083,22.53818930239999
09005700122003201527176755O,,113.96986771150425,22.557043010877443
09005700011608230926341779P,,113.89601515981825,22.538193776245755
09005700011510200114215995O,,113.9702184561086,22.557035972977122
09005700011608271217178999P,,113.89669552502923,22.539965296053346
09005700011510200114241365O,,113.9704882711304,22.557013895024944
09005700011608271217129859P,,113.89669569444365,22.539564792484093
09005700011510200114306725O,,113.97126176521253,22.556898431313805
09005700011608271217081019P,,113.89671378381912,22.539147888577002
09005700011510200114320165O,,113.97142365765446,22.556870210952074
09005700011608271217033529P,,113.89671393659894,22.538747378884057
09005700011608230926055389P,,113.89721592561082,22.53818816487607
09005700011608230925584599P,,113.89748473855914,22.53815920601286
09005700011608230926233359P,,113.89649907208091,22.5381931949132
09005700011608230926155429P,,113.89681270093625,22.538198272908552
09005700011608231332337129P,,113.89646285006924,22.524239469863627
09005700011608231332098259P,,113.89730502616538,22.523952709111718
09005700011608231328324629P,,113.89827255064874,22.52369331781448
09005700011608231328287559P,,113.89852338111477,22.523647443549862
09005700011608231327070099P,,113.89911459003153,22.523523878559697
09005700011608231327123069P,,113.89935644278255,22.523486253890688
09005700011608231327088219P,,113.89918625245971,22.523516747654387
09005700011608231327137949P,,113.8994460193565,22.523479432299986
09005700011608231327162549P,,113.89964307849392,22.523449407833503
09005700011608231327174169P,,113.89974161015925,22.523442745305363
09005700011608231327198019P,,113.89993866700098,22.523421080204713
09005700011608231327235509P,,113.90020737865825,22.52340065518595
09005700011608231327272819P,,113.90049399754234,22.523380553518955
09005700011608231327284949P,,113.90057460715434,22.52337359857264
09005700011608231327297619P,,113.90066417308856,22.523366799608223
